username,followers,votes
mihamlakar,23,17
ipashko,23,18
whippering,23,28
hbworld92,23,32
danielbalazs,23,33
diwakarsapan,23,41
frantzlight,23,44
antonbolotov,23,46
meloei,23,47
jeff_meyerson,23,51
paulbleier,23,53
ngszekiat,23,55
rajavijayaraman,23,55
gcwelborn,23,61
viganb,23,70
raphbonstein,23,73
sandeepgajula,23,82
shomin_sample,23,85
alexgrappo,23,98
josephrprice,23,99
samibh,23,107
nathanheber1,23,108
yasu00000,23,109
defeed,23,124
nicgdragon,23,137
tacomanator,23,149
justawebguy,23,159
come_rad,23,226
zacharydewitt,23,228
madhero101,23,266
elliotisles,23,296
dillonmorgan22,23,322
jamespickens_,23,339
emiruckan,23,342
haivietho,23,348
anselmetrochu,23,625
nikkimarkov,23,661
helloimfreddie,24,5
roulse,24,5
alirezajozi,24,8
lalo,24,9
codylynn33,24,11
desunit,24,12
invoodoo,24,12
robdix,24,13
k_haaps,24,14
vegardwikeby,24,16
pcoent,24,17
cybertigro,24,18
heigopaartalu,24,27
gigamick,24,29
_sachink,24,31
balduzzi,24,36
prvenkatesh,24,48
pimcoumans,24,49
radekzaleski,24,49
jjsandgreen,24,51
aboutphilippe,24,57
nabeel_hanif,24,65
mariobreid,24,68
he_jinsheng,24,70
japanemoticons,24,74
josef_moser,24,81
mil5om,24,84
wallinex,24,85
manaspaldhe12,24,103
zak_a1i,24,126
zacbdct,24,154
motormo,24,163
patcheung,24,165
soumitrasen,24,165
jonasbrandau,24,204
blamealan,24,212
alainduruy,24,225
marekekes,24,242
sond813,24,665
bntzio,25,2
gratefuldays,25,2
akshayraje,25,3
idanielroman,25,4
jcg85,25,4
wjuschin,25,9
calltheplummer,25,12
lowmess,25,13
leonhitchens,25,15
marpeluso,25,17
tyronedougherty,25,18
reconcubed,25,22
td_evans,25,31
tr3ysims,25,31
ranjita_rs,25,47
gonewandering,25,49
liornn,25,53
alexhanschke,25,56
nelnel00,25,57
vignolo,25,61
murtazasaadat,25,64
kimcy929,25,68
mckurt,25,79
eriklgillespie,25,89
faridh,25,94
iamlakdawala,25,101
prasannapegu,25,101
prower,25,105
slamboogie88,25,114
michaelmj,25,115
diogosnows,25,131
rickyweiss,25,132
mattpickle_,25,135
birmacher,25,136
leon_franco,25,155
jblok2,25,181
timwelch_,25,226
athadi,25,239
sonialsanchez,25,361
andym_dc,25,430
chrissteggles,25,520
jasonbrueckner,26,4
viviancohen,26,8
joelfreeborn,26,9
faisalsethi,26,10
phil_rukin,26,14
jschoes1994,26,17
battleofdurak,26,19
claree_freeman,26,21
ben_au,26,30
